"Timestamp","What age bracket are you in?","What websites/applications do you think provide recommendations for you?","Are you aware that the items you see on these applications are personalised to satisfy your tastes?","How often do you get recommendations that you think are irrelevant?","How often do you find yourself getting frustrated when you can't find anything you like on these applications?","Would you be willing to tell these applications which items you have consumed in the past to receive better recommendations? "
"2020/05/14 12:52:36 PM GMT+1","18 - 29","Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/14 1:36:13 PM GMT+1","18 - 29","Movie/TV Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/14 2:04:26 PM GMT+1","18 - 29","Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/14 8:12:39 PM GMT+1","40 - 49","Movie/TV Streaming Apps;News Websites;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/14 8:49:44 PM GMT+1","18 - 29","News Websites;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/14 8:51:51 PM GMT+1","30 - 39","News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/14 10:03:40 PM GMT+1","30 - 39","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Often","Yes, providing I know that my data is safe"
"2020/05/15 12:58:50 AM GMT+1","30 - 39","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/15 6:31:06 AM GMT+1","40 - 49","Movie/TV Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/15 8:13:57 AM GMT+1","40 - 49","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/15 8:23:54 AM GMT+1","40 - 49","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/15 6:34:41 PM GMT+1","18 - 29","News Websites;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
